"text","id"
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",120
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",121
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",122
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",123
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",124
"@valerio_xochitl @CaptainAmerica @captainmarvel I am a huge wolverine fan but can't get any gear or new toys for my‚Ä¶ https://t.co/h4DisxB0uG",125
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",126
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",127
"@CaptainAmerica Why ya just showing kids?  I wear Marvel and I'm a grown up person.  Well....OK...in height only, I guess! Ì†ΩÌ∏ÑÌ†ΩÌ∏Ñ #teamcap",128
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",129
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",130
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",131
"@CaptainAmerica Id be nice if I could find more @captainmarvel gear. Thanks tho",132
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",133
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",134
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",135
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",136
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",137
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",138
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",139
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",140
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",141
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",142
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",143
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",144
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",145
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",146
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",147
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",148
"@CaptainAmerica What is the official link to the shop?",149
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",150
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",151
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",152
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",153
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",154
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",155
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",156
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",157
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",158
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",159
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",160
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",161
